V1 V2 V3 V5 V6 V11 V12 V14 V15
348 cell1_MACS_peak_11826 3 4 6 5 15 25 24 25
349 cell1_MACS_peak_11828 3 2 6 3 7 8 9 9
350 cell1_MACS_peak_11829 14 9 25 19 54 63 72 61
351 cell1_MACS_peak_1183 1 1 1 1 9 9 9 12
352 cell1_MACS_peak_11831 5 5 6 12 23 24 31 28
353 cell1_MACS_peak_11832 6 7 9 6 19 16 21 18
354 cell1_MACS_peak_11833 8 8 10 8 41 35 42 41
355 cell1_MACS_peak_11837 10 8 5 4 12 15 17 14
356 cell1_MACS_peak_11841 4 2 3 5 11 11 12 13
357 cell1_MACS_peak_11846 4 4 7 9 20 18 20 22
358 cell1_MACS_peak_11849 8 11 12 10 28 34 34 40
359 cell1_MACS_peak_11851 9 6 11 13 28 34 29 24
360 cell1_MACS_peak_11852 18 7 14 20 47 51 54 55
361 cell1_MACS_peak_11855 5 3 6 4 16 11 16 16
362 cell1_MACS_peak_11858 12 6 13 13 26 19 24 25
363 cell1_MACS_peak_11863 1 1 3 2 13 13 13 12
364 cell1_MACS_peak_11865 2 3 3 5 15 12 17 16
365 cell1_MACS_peak_11869 6 4 6 5 7 11 12 11
366 cell1_MACS_peak_11876 3 2 2 3 14 12 16 18
367 cell1_MACS_peak_11892 7 7 13 8 30 32 33 31
368 cell1_MACS_peak_119 7 6 8 8 13 18 18 15
369 cell1_MACS_peak_11901 12 7 8 8 13 15 15 19
370 cell1_MACS_peak_11913 13 11 18 11 37 42 43 48
371 cell1_MACS_peak_1192 3 2 3 2 10 7 8 8
372 cell1_MACS_peak_11924 3 2 3 2 4 8 9 7
373 cell1_MACS_peak_11928 5 5 6 8 8 9 11 5
374 cell1_MACS_peak_11936 4 3 2 4 9 10 9 9
375 cell1_MACS_peak_1194 9 11 10 9 11 11 10 13
376 cell1_MACS_peak_11940 13 12 11 16 19 19 20 19
377 cell1_MACS_peak_11941 15 13 19 17 30 28 30 29
378 cell1_MACS_peak_11950 10 5 9 8 7 12 8 13
379 cell1_MACS_peak_11952 3 7 6 4 16 10 15 13
380 cell1_MACS_peak_11955 2 3 4 2 8 7 10 12
381 cell1_MACS_peak_11958 1 3 6 3 13 16 18 16
382 cell1_MACS_peak_11965 6 6 4 5 15 15 10 11
383 cell1_MACS_peak_11969 9 8 8 12 10 15 10 19
384 cell1_MACS_peak_1197 5 5 5 5 12 14 14 14
385 cell1_MACS_peak_11972 2 3 2 3 9 9 11 9
386 cell1_MACS_peak_11980 1 1 3 1 8 11 8 9
387 cell1_MACS_peak_11985 12 18 17 29 83 74 90 86
388 cell1_MACS_peak_1200 8 6 8 6 18 18 25 15
389 cell1_MACS_peak_12003 7 9 8 8 22 17 20 20
390 cell1_MACS_peak_12006 4 5 7 9 29 23 35 26
391 cell1_MACS_peak_12013 3 3 4 5 14 12 13 15
392 cell1_MACS_peak_1202 15 12 17 17 33 30 27 26
393 cell1_MACS_peak_12022 4 4 5 10 19 19 21 23
394 cell1_MACS_peak_12024 6 7 11 6 25 23 29 34
395 cell1_MACS_peak_12026 7 6 7 8 19 16 17 12
396 cell1_MACS_peak_12028 7 5 9 6 9 13 12 12
397 cell1_MACS_peak_12035 2 2 3 5 22 16 21 21
398 cell1_MACS_peak_12039 3 3 3 6 21 21 23 24
399 cell1_MACS_peak_12040 4 4 4 4 7 11 9 12
400 cell1_MACS_peak_12044 2 1 6 6 14 17 16 15
401 cell1_MACS_peak_12059 8 12 15 11 43 29 43 46
402 cell1_MACS_peak_12065 9 15 18 16 68 58 62 59
403 cell1_MACS_peak_12069 9 9 9 14 38 34 39 34
404 cell1_MACS_peak_1208 12 12 12 15 17 26 24 21
405 cell1_MACS_peak_12080 2 1 4 2 10 8 10 10
406 cell1_MACS_peak_12085 2 3 6 5 11 12 14 12
407 cell1_MACS_peak_12088 14 19 22 22 73 84 86 97
408 cell1_MACS_peak_12095 6 3 9 8 17 21 17 16
409 cell1_MACS_peak_12099 3 1 3 4 10 13 12 14
410 cell1_MACS_peak_12100 12 10 14 12 21 24 19 23
411 cell1_MACS_peak_12101 7 5 11 10 14 19 18 21
412 cell1_MACS_peak_12103 1 1 3 2 10 11 15 16
413 cell1_MACS_peak_12107 7 9 5 4 8 9 12 11
414 cell1_MACS_peak_12109 5 6 4 5 11 8 12 13
415 cell1_MACS_peak_12118 0 0 4 2 14 12 16 12
416 cell1_MACS_peak_12124 2 4 4 8 16 17 18 16
417 cell1_MACS_peak_12128 2 2 4 3 17 15 17 14
418 cell1_MACS_peak_12133 4 7 3 4 13 17 14 16
419 cell1_MACS_peak_12148 4 5 10 7 23 18 27 27
420 cell1_MACS_peak_12149 3 2 5 2 10 9 10 11
421 cell1_MACS_peak_12157 5 3 3 5 14 17 16 15
422 cell1_MACS_peak_1216 8 7 9 12 21 22 22 19
423 cell1_MACS_peak_12167 1 0 0 0 4 10 8 7
424 cell1_MACS_peak_12169 11 16 32 30 113 109 123 126
425 cell1_MACS_peak_12170 4 5 9 9 12 12 16 16
426 cell1_MACS_peak_12171 3 0 6 6 20 21 24 22
427 cell1_MACS_peak_12175 6 7 13 5 19 15 13 20
428 cell1_MACS_peak_12182 11 11 15 17 32 30 29 30
429 cell1_MACS_peak_12183 5 2 3 4 12 16 14 18
430 cell1_MACS_peak_12202 2 3 3 2 13 14 16 18
431 cell1_MACS_peak_12206 3 3 1 4 12 13 17 10
432 cell1_MACS_peak_12210 2 3 7 1 13 10 19 10
433 cell1_MACS_peak_12212 12 11 10 13 13 20 18 14
434 cell1_MACS_peak_12220 7 7 10 8 15 19 20 22
