V1 V2 V3 V5 V6 V11 V12 V14 V15
289 cell1_MACS_peak_11453 11 7 14 9 10 13 11 12
290 cell1_MACS_peak_11454 13 15 17 12 16 18 21 21
291 cell1_MACS_peak_11468 11 12 10 14 14 14 13 16
292 cell1_MACS_peak_11471 12 10 14 11 15 11 11 12
293 cell1_MACS_peak_11475 6 6 5 7 6 5 6 7
294 cell1_MACS_peak_11479 7 10 8 14 8 7 11 10
295 cell1_MACS_peak_11497 9 10 10 10 16 15 19 18
296 cell1_MACS_peak_11509 6 8 7 7 13 10 10 13
297 cell1_MACS_peak_1151 9 20 19 14 13 14 13 16
298 cell1_MACS_peak_11510 10 6 8 10 12 8 6 10
299 cell1_MACS_peak_11512 12 14 17 11 14 12 10 11
300 cell1_MACS_peak_11516 8 9 8 7 18 14 17 15
301 cell1_MACS_peak_11517 12 11 9 11 15 16 15 16
302 cell1_MACS_peak_11521 13 17 14 16 8 9 5 7
303 cell1_MACS_peak_11526 10 9 9 11 13 8 11 8
304 cell1_MACS_peak_11531 6 5 8 7 17 15 20 19
305 cell1_MACS_peak_11556 11 8 7 8 5 9 5 9
306 cell1_MACS_peak_11563 8 7 10 7 3 3 4 7
307 cell1_MACS_peak_11569 19 18 21 24 18 23 22 22
308 cell1_MACS_peak_11570 21 20 19 20 15 23 20 21
309 cell1_MACS_peak_11577 15 9 12 11 12 13 13 16
310 cell1_MACS_peak_11580 20 18 19 23 33 27 39 36
311 cell1_MACS_peak_11589 11 11 14 12 6 7 6 6
312 cell1_MACS_peak_11597 20 21 20 22 21 18 19 20
313 cell1_MACS_peak_11598 11 12 8 10 5 5 6 6
314 cell1_MACS_peak_11602 22 21 22 19 24 26 20 24
315 cell1_MACS_peak_11606 6 8 10 9 11 10 9 10
316 cell1_MACS_peak_11608 16 16 15 13 14 17 13 15
317 cell1_MACS_peak_11614 11 8 11 13 13 8 10 11
318 cell1_MACS_peak_11623 7 12 16 16 25 26 30 30
319 cell1_MACS_peak_11645 14 11 10 13 11 14 7 10
320 cell1_MACS_peak_11647 7 9 8 12 12 10 12 11
321 cell1_MACS_peak_11651 7 9 10 7 6 8 7 7
322 cell1_MACS_peak_11652 7 9 8 12 20 13 17 18
323 cell1_MACS_peak_11656 10 9 9 8 8 8 7 8
324 cell1_MACS_peak_11660 10 7 11 10 11 14 8 10
325 cell1_MACS_peak_11671 6 7 7 9 6 8 6 5
326 cell1_MACS_peak_11678 3 3 2 2 10 9 8 9
327 cell1_MACS_peak_11686 11 10 9 7 6 11 5 8
328 cell1_MACS_peak_11688 9 8 8 8 13 13 15 14
329 cell1_MACS_peak_11692 9 8 6 15 12 11 12 11
330 cell1_MACS_peak_11696 7 5 4 2 9 7 9 6
331 cell1_MACS_peak_11701 8 9 7 7 7 4 6 7
332 cell1_MACS_peak_11713 12 12 9 11 8 10 11 8
333 cell1_MACS_peak_11740 6 4 7 3 10 8 11 12
334 cell1_MACS_peak_11751 11 10 9 7 16 12 11 12
335 cell1_MACS_peak_11758 5 5 4 4 3 4 4 5
336 cell1_MACS_peak_11764 2 3 3 3 6 4 6 4
337 cell1_MACS_peak_11770 5 5 7 8 11 13 10 15
338 cell1_MACS_peak_11776 10 8 8 9 17 17 15 16
339 cell1_MACS_peak_11790 12 15 15 14 19 18 15 17
340 cell1_MACS_peak_11797 3 5 2 6 16 19 18 17
341 cell1_MACS_peak_11808 3 3 4 2 7 6 6 8
342 cell1_MACS_peak_1181 15 19 16 20 12 11 12 9
343 cell1_MACS_peak_11811 10 11 10 8 11 15 15 18
344 cell1_MACS_peak_11814 10 9 11 9 15 9 13 14
345 cell1_MACS_peak_11818 6 6 8 6 6 5 6 8
346 cell1_MACS_peak_1182 15 17 13 14 20 23 23 22
347 cell1_MACS_peak_11822 4 4 5 7 8 9 10 12
348 cell1_MACS_peak_11826 14 9 8 9 20 21 24 18
349 cell1_MACS_peak_11828 9 8 5 6 9 6 8 7
350 cell1_MACS_peak_11829 7 8 11 14 21 22 23 24
351 cell1_MACS_peak_1183 7 6 6 5 9 6 3 5
352 cell1_MACS_peak_11831 5 2 5 7 12 15 18 14
353 cell1_MACS_peak_11832 12 11 11 10 10 10 10 14
354 cell1_MACS_peak_11833 11 14 17 10 27 26 35 36
355 cell1_MACS_peak_11837 10 13 13 15 22 20 27 23
356 cell1_MACS_peak_11841 7 7 7 7 12 15 15 11
357 cell1_MACS_peak_11846 4 7 6 5 9 12 7 10
358 cell1_MACS_peak_11849 18 14 19 14 15 20 19 13
359 cell1_MACS_peak_11851 9 7 10 11 15 14 14 13
360 cell1_MACS_peak_11852 7 8 11 6 21 13 16 15
361 cell1_MACS_peak_11855 9 12 16 12 16 14 17 15
362 cell1_MACS_peak_11858 10 7 16 5 18 16 14 14
363 cell1_MACS_peak_11863 10 10 10 9 9 11 9 11
364 cell1_MACS_peak_11865 3 4 4 2 5 4 2 3
365 cell1_MACS_peak_11869 8 6 7 6 11 14 12 12
366 cell1_MACS_peak_11876 4 4 8 3 15 11 14 13
367 cell1_MACS_peak_11892 4 4 3 9 15 15 20 14
368 cell1_MACS_peak_119 16 21 17 18 29 34 28 23
369 cell1_MACS_peak_11901 10 9 12 12 14 12 18 15
370 cell1_MACS_peak_11913 9 12 8 7 9 11 12 13
371 cell1_MACS_peak_1192 16 13 12 14 7 10 11 11
372 cell1_MACS_peak_11924 8 8 8 7 8 14 9 11
373 cell1_MACS_peak_11928 10 7 10 10 10 7 11 10
374 cell1_MACS_peak_11936 3 2 4 2 8 9 7 8
375 cell1_MACS_peak_1194 20 22 20 20 9 13 11 10
376 cell1_MACS_peak_11940 11 14 14 15 12 15 18 15
377 cell1_MACS_peak_11941 20 19 22 19 29 24 22 21
378 cell1_MACS_peak_11950 3 4 4 4 11 6 11 10
379 cell1_MACS_peak_11952 5 5 6 5 7 12 11 12
380 cell1_MACS_peak_11955 8 7 9 5 11 8 10 13
381 cell1_MACS_peak_11958 17 18 16 15 21 23 21 22
382 cell1_MACS_peak_11965 10 9 9 6 10 9 8 6
383 cell1_MACS_peak_11969 4 3 5 2 8 7 7 10
384 cell1_MACS_peak_1197 15 18 19 19 15 13 16 12
385 cell1_MACS_peak_11972 6 5 6 7 8 8 7 6
386 cell1_MACS_peak_11980 4 5 6 7 14 14 9 14
387 cell1_MACS_peak_11985 8 9 12 8 13 13 19 15
388 cell1_MACS_peak_1200 11 13 15 7 13 15 9 11
389 cell1_MACS_peak_12003 4 4 8 9 9 10 10 11
390 cell1_MACS_peak_12006 8 6 11 9 13 14 18 17
391 cell1_MACS_peak_12013 6 10 8 9 15 19 20 17
392 cell1_MACS_peak_1202 10 11 9 10 10 12 12 12
393 cell1_MACS_peak_12022 7 6 7 7 8 7 10 7
394 cell1_MACS_peak_12024 7 7 12 11 15 12 10 11
395 cell1_MACS_peak_12026 9 9 7 13 12 14 17 14
396 cell1_MACS_peak_12028 8 9 11 10 17 7 12 11
397 cell1_MACS_peak_12035 16 13 11 7 19 20 16 17
398 cell1_MACS_peak_12039 6 8 9 11 17 19 19 23
399 cell1_MACS_peak_12040 11 11 11 12 14 11 14 9
400 cell1_MACS_peak_12044 11 10 12 19 14 18 21 17
401 cell1_MACS_peak_12059 12 11 9 11 13 7 10 12
